dunsNum,name,website,address,team,certifications,status,lastUpdated
858951684,"Exact Packaging, Inc.",http//www.exactpack.com,2500 N 42nd St,"['1. Nick Lansing, President']",[''],Active,01/14/2019
88178751,"G Systems, Inc.",,1240 E Campbell Rd Ste 100,"['1. Lynda Harrell, President and CEO']","['Women-Owned Small Business', 'Woman Owned']",Active,02/27/2019
127865447,"OpTech, L.L.C.",http//www.optechus.com,5440 Corporate Dr Ste 260,"['1. Rami Fakhoury, Vice President - Legal\n2. Ronia Kruse, CEO/Managing Director\n3. Scott Goodwin, Sr. VP, Government Programs']",['Woman Owned'],Active,11/15/2019
101719420,"INTERCHEZ LOGISTICS SYSTEMS, INC.",https//www.interchez.com,600 ALPHA PKWY,"['1. Sharlene Chesnes, President, CEO']","['Hispanic American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Expired,08/03/2018
4826711,"ADVANTAGE BUILDING & FACILITY SERVICES, LLC",,901 S BOLMAR ST BLDG 3,"['1. Patricia Faidiga, Manager']","['Women-Owned Small Business', 'Woman Owned']",Expired,01/03/2012
616275579,"High Desert Capital, LLC",,6080 SURETY DR STE 101,['(none given)'],"['Hispanic American', 'Other Minority Owned']",Active,09/15/2019
34310227,"MARTIN AUTOMOTIVE GROUP, INC.",,2948 HIGHWAY 90 E,['(none given)'],['Other Minority Owned'],Expired,07/03/2012
55308782,"BuzzBack, LLC",https//www.buzzback.com,989 AVENUE OF THE AMERICAS FL 5,"['1. Carol Fitzgerald, President\n2. Andrea Levene, VP, Finance & Administration']","['Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
5376819,"Robinson Industries, Inc.",http//www.robinsonind.com,3051 W Curtis Rd,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
62864814,"Knight's Pumping & Portable Services, Inc.",http//www.knightsservices.com,1550 James Rd,['(none given)'],"['Self-Certified Small Disadvantaged Business', 'Woman Owned']",Active,09/17/2019
177707916,"ASI Computer Technologies, Inc.",,48289 Fremont Blvd,['(none given)'],"['Asian Pacific American', 'Other Minority Owned', 'Woman Owned']",Active,11/02/2019
171373421,"KE'AKI Technologies, LLC",http//www.keakitech.com/,12565 Research Pkwy Ste 300,"[""1. Alaka'ina Foundation, Majority Owner""]","['Native Hawaiian Organization Owned Firm', 'Self-Certified Small Disadvantaged Business']",Active,02/28/2019
40203127,TOXIKON CORPORATION,,15 WIGGINS AVE,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Active,03/05/2019
10036635,"PRIMITIVE LOGIC, INC.",,704 SAMSONE ST,['(none given)'],['Woman Owned'],Expired,03/15/2012
121925390,"Informatix, Inc.",,2485 NATOMAS PARK DR STE 430,"['1. Raul Ocazionez, President']","['Hispanic American', 'Other Minority Owned']",Active,07/11/2019
828582531,"Silotech Group, Inc",http//www.silotechgroup.com,19026 Ridgewood Pkwy Ste 118,"['1. Tiffany Tremont, President']","['Black American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Service-Disabled Veteran', 'Veteran', 'Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small\nBusiness', 'Woman Owned']",Active,07/19/2019
785308797,"KPaul Properties, LLC",,5616 W 74 ST,"['1. Kevin Paul, CEO\n2. Ina Paul, Manager']","['Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Service-Disabled Veteran', 'Subcontinent Asian American', 'Veteran']",Active,07/12/2019
92570407,"Estron Chemicals, Inc.",,807 N Main St,['(none given)'],[''],Expired,03/13/2013
878982495,"GMR Protection Resources, Inc.",,1629 Smirl Dr Ste 200,['(none given)'],"['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
136569840,"Venegas Engineering Management And Construction, Inc.",http//www.vemac.us,1919 Rio Grande,"['1. Oscar Venegas, President']","['Hispanic American', 'Other Minority Owned']",Active,10/08/2019
71092274,"Williams Lumber, Inc.",,6760 Rte 9,['(none given)'],[''],Expired,03/23/2018
93104685,"EIP MANUFACTURING, L.L.C.",https//www.eipstore.com,2677 221ST,['(none given)'],['Woman Owned'],Expired,08/22/2011
832301258,B.T.T.R. VENTURES LLC,,1501 POWELL ST UNIT B,['(none given)'],"['Hispanic American', 'Other Minority Owned']",Expired,11/11/2009
147243096,"Shi/government Solutions, Inc.",,1301 St Mo-Pac Expy Ste 375,['(none given)'],"['Asian Pacific American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,10/24/2019
156258449,"TenPearls, LLC",,8614 Westwood Ctr Dr Ste 540,"['1. Salma Naseer, (no title given)']","['Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Subcontinent Asian American']",Active,02/28/2019
26001941,"Southwest Office Systems, Inc.",,13960 Trinity Blvd,"['1. Buddy Puente, Chief Financial Officer\n2. Vince Puente, President Sales & Marketing']","['Hispanic American', 'Other Minority Owned']",Active,02/23/2019
30812432,"Omni Services, Inc.",,12 East Worcester Street,['(none given)'],['Self-Certified Small Disadvantaged Business'],Active,10/18/2018
877154943,Interapt LLC,http//www.interapt.com,5028 ARDOSSAN SQ,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Expired,07/20/2018
158264833,"Hawk Enterprises, L.L C.",,5025 Bradford Dr Ste 150,"['1. William G. Tripp, President']","['Service-Disabled Veteran', 'Veteran']",Active,04/02/2019
46414095,"SPECTROTEL, INC.",,3535 RTE 66 STE 7,['(none given)'],['Self-Certified Small Disadvantaged Business'],Active,07/18/2019
61125966,Ole Ben Franklin Motors,,480 S Illinois Ave,['(none given)'],['Woman Owned'],Expired,10/05/2017
792957805,"TCS INDUSTRIES, INC.",,400 TRABOLD RD,"['1. MANOJ SHEKAR, (no title given)']","['Other Minority Owned', 'Subcontinent Asian American']",Active,09/27/2018
60129191,PELV-ICE LLC,,7083 Hollywood Blvd Fl 4,['(none given)'],"['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Expired,05/28/2020
803112379,Noble Technologies Corp.,,2020 Noble Dr,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Active,07/19/2019
32861205,FLORIDA HOME MEDICAL SUPPLY INC,,915 S ORANGE AVE,['(none given)'],['Woman Owned'],Expired,04/24/2012
79708930,"Pro-Cal Lighting, Inc.",,1155 S Santa Fe Ave,"['1. Brian J Morales, President/CEO']","['Hispanic American', 'Self-Certified Small Disadvantaged Business']",Active,07/11/2019
80223082,"Mi Cosecha Food and Wines, Inc.",,3601 Vineland Rd Ste 13,['(none given)'],"['Hispanic American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Expired,12/29/2016
33664006,"Onestaff Medical, Limited Liability Company",,11819 Miracle Hills Dr Suite 101,['(none given)'],[''],Expired,02/03/2017
80378781,"NuWin Enterprises, LLC",,7300 Lee's Summit Rd,['(none given)'],"['Asian Pacific American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Expired,09/08/2017
785307526,RLH Inc.,,126 N Adams St,"['1. Damien Harmon, President\n2. Michael Harmon, Chief Financial Officer']","['Native American', 'Self-Certified Small Disadvantaged Business']",Active,07/12/2019
33358198,EMERGYS CORP,,6340 QUADRANGLE DR STE 360,"['1. Jai Shankar, Owner/President\n2. Mahesh Ramanujam, COO\n3. KK Sabesan, Vice President - Off Shore Operations']",['Subcontinent Asian American'],Expired,04/15/2005
787223718,"FIRST CALL NURSING SERVICES, INC.",http//www.firstcallnursingservices.com/,1313 N. Milpitas Blvd. Suite 210,"['1. Celina Salazar-Camillo, President\n2. Franklin Camillo, CEO']","['Women-Owned Small Business', 'Woman Owned']",Active,07/18/2019
833041572,"Creative Business Solutions, Inc.",,1401 MERCANTILE LN STE 211,"['1. Robert C. Palmer, President/CEO']","['Black American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Service-Disabled Veteran', 'Veteran']",Active,07/11/2019
5363127,LearnQuest Incorporated,,1601 Market St 19th Fl,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Active,07/26/2019
175266733,"MULTATECH Engineering, Inc.",,2821 W 7th St Ste 400,"['1. Alfred Saenz, President\n2. Jack A. Otteson, Vice President\n3. Hong P. Chen, Vice President']","['Hispanic American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Veteran']",Expired,05/01/2018
7982960,CONNOR CO.,http//www.CONNORCO.COM,2800 NE ADAMS ST,"['1. SUSAN COLLINS, CHAIRWOMEN OF BOARD\n2. STAN COLLINS, PRESIDENT']",['Woman Owned'],Active,07/27/2019
931224153,Chrysalis Packaging And Assembly Corp,http//www.chryspac.com,"130 West Edgerton Avenue, Suite 130","['1. William P. Beckett, President & CEO']","['Black American', 'Other Minority Owned', 'Service-Disabled Veteran', 'Veteran']",Expired,06/20/2014
156449704,"WINDSONG RADIOLOGY GROUP, P.C",,55 SPINDRIFT DR,['(none given)'],['Woman Owned'],Expired,03/30/2007
829713382,"PBS Biotech, Inc.",,1183 Calle Suerte,['(none given)'],"['Asian Pacific American', 'Other Minority Owned']",Expired,04/09/2015
927897298,JASPER ELECTRONICS,,1580 N KELLOGG DR,['(none given)'],"['Asian Pacific American', 'Other Minority Owned', 'Veteran']",Expired,04/21/2015
879857634,"JOSE L. LEON, LLC",,720 S IMPERIAL AVE,['(none given)'],"['Hispanic American', 'Other Minority Owned']",Active,07/11/2019
827813478,"GUNBY CONSTRUCTION CO., INC.",,13400 LACKEY RD,['(none given)'],"['Hispanic American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,02/23/2019
57274672,"Gunter Construction Company, Inc.",,455 Fredrix Alley,"['1. Susan Boyd, CEO\n2. Bryan Boyd, CFO']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,02/28/2019
63665844,"Forward Space, LLC",,1142 N North Branch St,['(none given)'],['Woman Owned'],Active,10/01/2019
78685169,Headworks International Inc.,,11000 Brittmoore Park Dr,"['1. Michele LaNoue, CEO\n2. Gerald Seidl, VP']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/28/2019
79431298,"MONARCH, INC.",,1519 N. NORMA STREET,['(none given)'],"['Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Expired,09/15/2016
622824886,"Environmental Quality Management, Inc",,1800 Carillon Blvd 100,"['1. Fox, Kevin, CFO\n2. Greber, Jack S., President\n3. Kemner, William F., CEO\n4. McCullough, Bob, Business Development']","['Alaskan Native Corporation Owned Firm', 'Native American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,07/11/2019
834693376,ZERNCO. INC.,,11225 SW HWY 54,['(none given)'],[''],Expired,07/14/2011
798245283,HARBOR FOAM INC,,2950 PRAIRIE ST SW,['(none given)'],['Woman Owned'],Expired,05/09/2007
18962217,"ROCKINGHAM ELECTRICAL SUPPLY COMPANY, INC.",,437 SHATTUCK WAY,['(none given)'],['Self-Certified Small Disadvantaged Business'],Active,03/21/2019
1683549,"SATURN INDUSTRIES, INC.",,157 UNION TURNPIKE,['(none given)'],['Woman Owned'],Expired,04/09/2010
64386626,"Sharp Transport, Inc.",,3935 Hwy 43 N,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Active,07/27/2019
799108845,"Tcr Composites, Inc.",,219 N 530 W Ste 1B,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Active,02/23/2019
9411666,"FOCUS TECHNOLOGY SOLUTIONS, INC.",,93 LEDGE RD,"['1. BRUCE CROCHETIERE, PRESIDENT']",[''],Expired,01/07/2010
168847536,Paradyme Management Inc.,http//www.paradymeportal.com,9111 Edmonston Rd Ste 400,"['1. Viraj Gandhi, President/ CEO\n2. Edward O, Vice President/CSO']","['Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Subcontinent Asian American']",Active,07/17/2019
555818124,"ONE FAT FROG, INCORPORATED",,1137 W AIRPORT BLVD,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Expired,08/24/2011
605383582,"MSA SYSTEMS, INC.",,1340 S DE ANZA BLVD STE 103,['(none given)'],"['Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Active,04/01/2019
808518042,"PINNACLE RIVERSIDE HOSPITALITY, LP",,3400 MARKET ST,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Active,08/27/2019
17206009,TECHNOSMARTS INC.,,16090 SWINGLEY RIDGE RD STE 330,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Expired,05/02/2017
148043441,"Refurbished Office Furniture, Inc.",,1212 N 39th St Ste 200,"['1. BILL ADAMS, PRESIDENT\n2. JONI ADAMS, VICE PRESIDENT/CEO']","['Hispanic American', 'Other Minority Owned', 'Woman Owned']",Expired,05/31/2017
6118871,OIL-RITE CORPORATION,,4325 CLIPPER DR,['(none given)'],[''],Active,10/02/2019
63430771,GENERAL SHEET METAL,,11235 SE HIGHWAY 212,"['1. Carol Duncan, President\n2. William Bolt, Sec/Treas']","['Self-Certified Small Disadvantaged Business', 'Woman Owned']",Expired,04/27/2015
131043189,"Kaya Associates, Inc.",,806 Governors Dr Ste 201,"['1. John Prince, President\n2. Dan McCauley, Secretary']","['Native American', 'Native Hawaiian Organization Owned Firm', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,02/21/2019
111324732,"COLONIAL DIVERSIFIED POLYMER PRODUCTS, LLC",http//www.colonialdpp.com,2055 FORREST ST EXT,"['1. Elizabeth L. Byars, Pres / CEO\n2. Steve Forsythe, VP / COO']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
24473100,"FORMS & SUPPLY, INC.",https//emall6.prod.dodonline.net/main,6410 ORR RD,"['1. Diane Godwin, President\n2. Jimmy D. Godwin, CEO']",['Woman Owned'],Active,02/23/2019
196333400,"Ameredia, Incorporated",,550 MONTGOMERY ST STE 750,"['1. Samridhi Mehra, President']","['Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Subcontinent Asian American', 'Woman Owned']",Expired,11/24/2013
154621239,"Radiant Global Logistics, Inc.",,405 114th Ave SE Fl 3,['(none given)'],"['Native American', 'Other Minority Owned']",Active,07/11/2019
63866891,Trans-Packers Services Corp.,http//www.transpackers.com,4100 NEW BRUNSWICK AVE,"['1. Lester Weiss, CEO\n2. Daniel Weiss, (no title given)\n3. Selma Weiss, President\n4. Monica Weiss, Secretary & Treasurer']","['Women-Owned Small Business', 'Woman Owned']",Active,07/26/2019
4038014,"MRS GRISSOM'S SALADS, INC.",,2500 BRANSFORD AVE,['(none given)'],['Woman Owned'],Expired,08/03/2010
21361659,"EON ENTERPRISES, INC.",,60 TEJON ST,"['1. Elena Sirpolaidis, President & CEO\n2. Lynne Sirpolaidis, Vice President\n3. Nicholas Sirpolaidis, Secretary']","['Self-Certified Small Disadvantaged Business', 'Woman Owned']",Active,02/24/2019
962155987,"Davenport Aviation, Inc.",https//www.davenportaviation.com,2300 Marilyn Ln,"['1. Leah Simoes, Owner & COO\n2. Joao Simoes, President & CEO']","['Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
962838665,"Arrowhead Precast, LLC",,1701 E Houston St,['(none given)'],[''],Active,07/12/2019
135504384,SA Technologies Inc.,,5201 Great America Pkwy Ste 457,['(none given)'],"['Asian Pacific American', 'Other Minority Owned', 'Woman Owned']",Active,07/26/2019
23254296,"Akervall Technologies, Inc.",,1512 Woodland Dr,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Active,04/01/2019
782766831,"Spectral Energies, LLC",,4065 Executive Dr.,['(none given)'],"['Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Subcontinent Asian American']",Active,09/15/2019
88940048,"Sintavia, Inc.",,6545 Nova Dr Ste 207,"['1. Jana Neff, Member\n2. Brian Neff, Member']","['Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
806933284,"ONE STOP ENVIRONMENTAL, LLC",http//www.onestopenv.com,4800 DIVISION AVE,"['1. Shannon S. Riley, President / CEO']","['Self-Certified Small Disadvantaged Business', 'Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Active,08/23/2019
80711507,"AXXCSS Wireless Solutions, Inc.",,82 Coromar Dr,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Active,07/19/2019
21931844,METIS CONSTRUCTION SERVICES,,4030 STATE ROUTE 43 STE 111,['(none given)'],"['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Expired,06/10/2015
188049597,"Employee Health Insurance Management, Inc.",,26711 Northwestern Hwy Ste 400,"['1. Mindi Fynke, President']","['Women-Owned Small Business', 'Woman Owned']",Active,02/27/2019
610358538,"Reliable Software Resources, Inc.",,"22260 Haggerty Rd, Ste 285",['(none given)'],"['Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Subcontinent Asian American']",Active,04/01/2019
623870292,"Solution Consultants, Inc.",,15450 SOUTH OUTER 40 RD STE 270,"['1. Cheryl Schmid, President\n2. John Mazzola, Chief Operating Officer']","['Women-Owned Small Business', 'Woman Owned']",Active,07/13/2019
829063734,"Abba Technologies, Inc.",http//www.abbatech.com,5301 BEVERLY HILLS AVE NE,"['1. Andrew L. Baca, President/Owner']","['Hispanic American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,07/19/2019
32137940,"Unique (USA), Inc.",https//uniqueloom.com/,104 Williamson St,"['1. Johnny Nassri, VP\n2. Jasmine Nassri Karasek, CFO']",['Other Minority Owned'],Active,07/17/2019
8120339,"MODERN MACHINE SHOP, INC.",,2000 BLAINE ST,['(none given)'],[''],Expired,08/20/2009
807568316,"CSG Consultants, Inc.",,550 Pilgrim Dr,['(none given)'],[''],Expired,07/19/2019
829845416,"QR PHARMA, INC.",http//www.qrpharma.com,1055 WESTLAKES DR STE 300,"['1. maria maccecchini, President & CEO']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,02/27/2019
164567617,"Anchor Point Technology Resources, Inc.",,9510 N Meridian St Ste 200,"['1. Julie Kennedy, President']","['Women-Owned Small Business', 'Woman Owned']",Active,09/15/2019
962759866,LOGIGEAR CORPORATION,,2015-B PIONEER CT,['(none given)'],"['Asian Pacific American', 'Other Minority Owned']",Expired,06/11/2010
155391647,"TOUCHPOINT, INC",http//[email protected],10199 SOUTHSIDE BLVD STE 203,"['1. Lisa B. Harper, CEO\n2. W. Kenneth Harper, President\n3. Jaye A. Murray, Controller\n4. Jim Soloway, VP Sales']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
7674208,"SHIP & SHORE ENVIRONMENTAL, INC.",,2474 N PALM DR,['(none given)'],['Woman Owned'],Expired,11/22/2013
142292973,Clear Align LLC,,2550 Blvd of the Generals Ste 280,"['1. Angelique X. Irvin, President']","['Hispanic American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business', 'Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Active,09/05/2018
800115727,At Work Sales Corporation,https//www.atworkuniforms.com,26953 Canal Rd,"['1. Shannon G Campbell, CEO\n2. Charles W Campbell, President\n3. Michael E Saulters, Vice President']",['Woman Owned'],Active,07/26/2019
796612406,"BUD'S BEST COOKIES, INC.",,2070 PARKWAY OFFICE CIR,['(none given)'],['Veteran'],Expired,07/30/2009
56766140,"K & D FACTORY SERVICE, INC.",,1833 N CAMERON ST,['(none given)'],"['Service-Disabled Veteran', 'Veteran', 'Woman Owned']",Expired,09/07/2016
49395614,"BUILDING & EARTH SCIENCES, INC.",,5545 Derby Dr,['(none given)'],"['Asian Pacific American', 'Other Minority Owned', 'Woman Owned']",Active,07/27/2019
968277918,MAZDA COMPUTING,,2526 QUME DR STE 22,['(none given)'],"['Hispanic American', 'Self-Certified Small Disadvantaged Business', 'Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/16/2019
112935437,"Array Information Technology, Inc.",,7474 Greenway Center Dr Ste 600,"['1. Brian Leung, President']",[''],Active,07/19/2019
879301778,"Butler/Till Media Services, Inc.",,1565 Jefferson Rd Bldg 200 Ste 280,"['1. Employee Stock Ownership Plan, (no title given)']","['Women-Owned Small Business', 'Woman Owned']",Expired,10/26/2015
607239746,"Atlanta Petroleum Equipment Company, Inc.",,4732-E N Royal Atlanta Dr,['(none given)'],[''],Active,07/12/2019
65600079,Orion Plastics Corporation,https//www.orionplastics.net,700 W Carob St,"['1. Patricia Conkling, President']",['Woman Owned'],Active,07/12/2019
112958137,"GROSVENOR BUILDING SERVICES, LLC",http//www.grosvenorservices.com,3398 Parkway Center Ct,"['1. Rita McCauley, CEO']","['Women-Owned Small Business', 'Woman Owned']",Active,07/17/2019
